ID,Name_allTime,Name_night,Name_day,Name_peak,all_h,nightTime_h,dayTime_h,peakTime_h,GA_ID
25554,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,14.0,5.0,6.0,3.0,8994
25555,Pudong New,Pudong New,Pudong New,Pudong New,19.0,10.0,6.0,3.0,8995
25556,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8996
25557,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,8997
25558,Minhang,Minhang,Minhang,Minhang,23.0,12.0,7.0,4.0,8998
25559,Minhang,Minhang,Minhang,Minhang,23.0,12.0,8.0,4.0,8999
25560,Fenxian,Fenxian,Pudong New,Fenxian,24.0,12.0,8.0,4.0,9000
25561,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9001
25562,Pudong New,Pudong New,Minhang,Minhang,23.0,11.0,8.0,4.0,9002
25563,Fenxian,Fenxian,Fenxian,Fenxian,24.0,12.0,8.0,4.0,9003
25564,Songjiang,Songjiang,Minhang,Songjiang,24.0,12.0,8.0,4.0,9004
25565,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,9005
25566,Fenxian,Fenxian,Fenxian,Fenxian,24.0,12.0,8.0,4.0,9006
25567,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9007
25568,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9008
25569,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,9009
25570,Minhang,Minhang,Minhang,Minhang,23.0,11.0,8.0,4.0,9010
25571,Fenxian,Fenxian,Fenxian,Fenxian,23.0,12.0,8.0,4.0,9011
25572,Qingpu,Qingpu,Qingpu,Qingpu,23.0,12.0,8.0,4.0,9012
25573,Minhang,Minhang,Shanghai Proper,Minhang,24.0,12.0,8.0,4.0,9013
25574,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9014
25575,Minhang,Minhang,Minhang,Minhang,23.0,11.0,8.0,4.0,9015
25576,Fenxian,Fenxian,Minhang,Minhang,24.0,12.0,8.0,4.0,9016
25577,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9017
25578,Pudong New,Pudong New,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9018
25579,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9019
25580,Pudong New,Pudong New,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9020
25581,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9021
25582,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9022
25583,Shanghai Proper,Fenxian,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9023
25584,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9024
25585,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9025
25586,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9026
25587,Pudong New,Pudong New,Pudong New,Pudong New,23.0,12.0,8.0,4.0,9027
25588,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,9028
25589,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9029
25590,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9030
25591,Pudong New,Pudong New,Shanghai Proper,Pudong New,24.0,12.0,8.0,4.0,9031
25592,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9032
25593,Pudong New,Pudong New,Shanghai Proper,Pudong New,22.0,11.0,7.0,4.0,9033
25594,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9034
25595,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9035
25596,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9036
25597,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9037
25598,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9038
25599,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9039
25600,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,19.0,9.0,7.0,3.0,9040
25601,Baoshan,Baoshan,Minhang,Shanghai Proper,23.0,12.0,8.0,4.0,9041
25602,Fenxian,Fenxian,Fenxian,Fenxian,24.0,12.0,8.0,4.0,9042
25603,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9043
25604,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9044
25605,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9045
25606,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9046
25607,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9047
25608,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,9048
25609,Minhang,Minhang,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9049
25610,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9050
25611,Minhang,Minhang,Shanghai Proper,Minhang,23.0,12.0,7.0,4.0,9051
25612,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9052
25613,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9053
25614,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9054
25615,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9055
25616,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9056
25617,Pudong New,Pudong New,Pudong New,Pudong New,23.0,12.0,8.0,4.0,9057
25618,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9058
25619,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,9059
25620,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,9060
25621,Jiading,Jiading,Pudong New,Jiading,23.0,11.0,8.0,4.0,9061
25622,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9062
25623,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,9063
25624,Shanghai Proper,Shanghai Proper,Shanghai Proper,Minhang,24.0,12.0,8.0,4.0,9064
25625,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9065
25626,Minhang,Minhang,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9066
25627,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9067
25628,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,22.0,11.0,8.0,4.0,9068
25629,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9069
25630,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9070
25631,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9071
25632,Shanghai Proper,Shanghai Proper,Pudong New,Shanghai Proper,24.0,12.0,8.0,4.0,9072
25633,Shanghai Proper,Shanghai Proper,Baoshan,Shanghai Proper,24.0,12.0,8.0,4.0,9073
25634,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,12.0,8.0,4.0,9074
25635,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9075
25636,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9076
25637,Baoshan,Baoshan,Shanghai Proper,Baoshan,21.0,12.0,5.0,4.0,9077
25638,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,9078
25639,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,12.0,8.0,4.0,9079
25640,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,9080
25641,Shanghai Proper,Shanghai Proper,Pudong New,Shanghai Proper,24.0,12.0,8.0,4.0,9081
25642,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9082
25643,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,9083
25644,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,9084
25645,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,21.0,10.0,7.0,3.0,9085
25646,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9086
25647,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9087
25648,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,9088
25649,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9089
25650,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9090
25651,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9091
25652,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9092
25653,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9093
25654,Baoshan,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9094
25655,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,22.0,12.0,7.0,4.0,9095
25656,Baoshan,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9096
25657,Shanghai Proper,Pudong New,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9097
25658,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9098
25659,Baoshan,Baoshan,Shanghai Proper,Baoshan,23.0,12.0,8.0,4.0,9099
25660,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9100
25661,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9101
25662,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9102
25663,Pudong New,Pudong New,Chongming,Pudong New,23.0,12.0,8.0,4.0,9103
25664,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,9104
25665,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9105
25666,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9106
25667,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9107
25668,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,9108
25669,Baoshan,Baoshan,Baoshan,Baoshan,21.0,9.0,8.0,3.0,9109
25670,Baoshan,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9110
25671,Baoshan,Baoshan,Shanghai Proper,Baoshan,24.0,12.0,8.0,4.0,9111
25672,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,9112
25673,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,9113
